State,Earning
MA,106500
MA,103300
IL,103000
PA,103000
NY,101200
NY,101200
PA,99300
IN,98400
CO,95600
MA,95400
PA,94100
IL,93400
MA,92500
PA,92400
NJ,91900
OH,89300
MA,88600
MO,87900
PA,87600
NY,86200
NY,86000
MA,84600
MA,83300
PA,82400
NY,81100
PA,80500
NY,80200
NY,78800
NY,78600
MI,78500
IL,78000
PA,78000
MA,75900
NY,74300
NY,74300
MA,74200
NY,74200
MA,74200
OH,72600
MN,72600
MO,72400
MA,71800
NY,71400
CO,71200
NY,70800
NJ,70300
PA,70000
NY,69700
NY,69200
PA,69200
MA,69000
IN,68900
IA,68700
PA,68200
NY,68100
NY,68100
MN,67900
NY,67800
IL,67300
MA,67300
MA,67300
MA,67300
MA,67300
MN,67100
NY,67000
MI,66800
MA,66800
PA,66300
IN,66100
PA,65900
CO,65400
PA,65300
MO,64900
NJ,64900
NY,64700
NY,64100
PA,64100
WA,63800
NJ,63700
NY,63600
IL,63500
MI,63200
WA,63200
NY,63000
CO,62700
MI,62700
NY,62700
NY,62600
NY,62600
MN,62500
NY,62300
PA,62300
MA,62200
NY,62100
IA,62000
PA,61800
NY,61500
OH,61400
IL,61300
MA,61300
MA,61300
OH,61100
PA,61100
IA,61000
NY,61000
PA,61000
NY,60900
PA,60900
MA,60500
MA,60500
MI,60500
IL,60200
OH,60200
NY,60100
PA,60100
MA,59900
NY,59900
CO,59700
KS,59500
MI,59500
KS,59500
KS,59500
WA,59400
KS,59300
PA,59100
WA,59100
NY,59000
PA,59000
MA,58900
MN,58900
WA,58700
PA,58600
NJ,58500
NY,58400
NY,58400
NY,58400
NY,58400
MA,58400
NY,58400
NY,58400
IL,58300
OH,58200
OH,57700
NY,57600
NY,57600
OH,57600
PA,57400
MN,57300
MO,57300
NJ,57300
MN,57000
NY,57000
MA,56800
PA,56800
PA,56800
WA,56600
IL,56500
PA,56500
IL,56400
IL,56400
NJ,56300
MA,56200
IA,56000
MN,56000
NJ,55900
NY,55900
MN,55800
NY,55800
MI,55700
IL,55600
NY,55600
MA,55500
MN,55500
MO,55400
NJ,55400
NY,55200
PA,55100
PA,55100
OH,55000
PA,55000
PA,55000
MI,54900
PA,54800
MA,54700
PA,54700
PA,54700
IN,54400
MA,54400
PA,54400
PA,54300
WA,54200
NJ,54100
MA,53900
NY,53900
NY,53900
OH,53800
MI,53700
IL,53600
IA,53600
MN,53600
OH,53600
WA,53500
MA,53500
NY,53400
WA,53400
NJ,53300
IA,53200
MN,53200
PA,53100
OH,53000
NY,52900
NJ,52800
OH,52800
NY,52700
NY,52500
NY,52500
MA,52400
NJ,52400
IL,52300
MI,52300
WA,52300
PA,52200
PA,52100
PA,52100
KS,51900
CO,51800
NY,51800
MN,51700
NY,51700
NY,51700
IL,51600
IL,51600
IN,51600
OH,51600
WA,51600
PA,51400
IN,51300
MO,51300
CO,51300
IA,51200
MA,51200
PA,51200
PA,51200
MA,51100
MA,51100
MN,51100
MO,51100
NY,51100
MA,50900
MO,50900
NJ,50900
NY,50900
WA,50900
IL,50800
MO,50800
MI,50700
MI,50700
NJ,50700
NY,50700
IL,50600
IA,50600
WA,50600
PA,50600
IA,50500
MI,50500
MO,50500
NY,50500
PA,50500
MN,50400
OH,50400
NY,50300
PA,50300
NY,50300
IL,50200
IA,50200
WA,50100
MA,50000
NY,50000
OH,50000
CO,49900
IL,49900
IL,49900
WA,49900
IL,49800
NY,49800
WA,49800
IA,49700
MN,49700
MO,49700
NJ,49700
IN,49600
KS,49600
MI,49600
PA,49600
MA,49600
NY,49500
OH,49500
IN,49400
PA,49400
MA,49400
CO,49300
NY,49300
NJ,49200
NY,49200
OH,49200
IL,49100
NJ,49100
OH,49100
MN,49000
MA,49000
OH,49000
MA,48900
NY,48900
IN,48800
NY,48800
MI,48700
NJ,48700
NY,48700
PA,48700
MN,48600
MN,48600
NY,48600
OH,48600
MA,48500
NY,48500
PA,48500
IA,48400
IA,48400
NJ,48400
OH,48400
OH,48300
NY,48200
PA,48200
MI,48100
OH,48100
PA,48100
PA,48100
WA,48100
IL,48100
MA,48100
MA,48100
IA,48000
IA,48000
NY,48000
PA,48000
WA,48000
MA,47900
IA,47900
MO,47900
OH,47900
KS,47900
IL,47800
IN,47800
MI,47800
NY,47800
IL,47700
MA,47700
NY,47700
NY,47700
PA,47700
IL,47500
NY,47500
NY,47500
NY,47500
NY,47500
MA,47400
NY,47300
PA,47300
IL,47200
IL,47200
MI,47200
PA,47200
PA,47200
WA,47200
CO,47100
MA,47100
NY,47100
NY,47100
OH,47100
MO,47000
KS,46900
OH,46900
OH,46900
NY,46800
OH,46800
PA,46800
NY,46700
NY,46700
NY,46700
PA,46700
PA,46700
WA,46700
IN,46700
IN,46600
IN,46600
IL,46500
MI,46500
OH,46500
WA,46500
WA,46400
IA,46400
OH,46400
IN,46300
MO,46300
NY,46300
WA,46300
MA,46300
IL,46200
MI,46200
NY,46200
IN,46100
NY,46100
PA,46100
MA,46100
IL,46000
IL,46000
NJ,46000
PA,46000
NY,45800
NY,45700
OH,45700
MA,45700
IL,45600
MA,45600
IA,45500
KS,45500
NY,45500
NY,45500
NY,45500
OH,45500
KS,45400
IA,45400
IA,45300
MA,45300
MI,45300
NY,45300
NY,45300
IA,45200
IL,45200
NY,45100
KS,45000
MI,45000
MI,45000
NJ,45000
MA,44900
MN,44900
PA,44900
IL,44900
MA,44800
NY,44800
PA,44800
PA,44800
NY,44700
NY,44700
PA,44700
CO,44600
IL,44600
IN,44600
NY,44600
OH,44600
PA,44500
WA,44500
IA,44400
KS,44400
MI,44400
MO,44400
CO,44200
KS,44200
NY,44200
NY,44200
PA,44200
PA,44200
IL,44000
IL,44000
MN,44000
MA,44000
IL,43900
MI,43900
NY,43900
OH,43900
PA,43900
MN,43800
KS,43800
MO,43700
NJ,43700
NY,43700
IN,43600
MA,43600
NJ,43600
WA,43600
IL,43500
KS,43500
KS,43500
OH,43500
KS,43500
CO,43400
MN,43400
NY,43400
NY,43400
PA,43400
PA,43400
CO,43300
CO,43300
KS,43300
MN,43300
PA,43300
WA,43300
MN,43200
NJ,43200
PA,43200
PA,43200
WA,43200
WA,43000
NY,42900
OH,42900
WA,42900
MI,42800
PA,42800
KS,42700
MI,42700
MN,42700
MO,42700
NJ,42700
OH,42700
IL,42600
IL,42600
IN,42600
IN,42600
IA,42600
MO,42600
NJ,42600
IA,42500
KS,42500
NJ,42500
NY,42500
MA,42500
IN,42400
NY,42400
OH,42400
OH,42400
OH,42400
OH,42400
OH,42400
OH,42400
OH,42400
OH,42400
PA,42400
NY,42400
CO,42300
IL,42300
MN,42300
NY,42300
PA,42300
IL,42200
MI,42200
NY,42200
OH,42200
OH,42200
MA,42200
MA,42200
MA,42200
MN,42100
MN,42100
MI,42000
NY,42000
PA,42000
WA,42000
IL,41900
OH,41900
OH,41800
OH,41800
IL,41700
NY,41700
OH,41700
PA,41700
MN,41600
IL,41500
MN,41400
MO,41400
NY,41400
NY,41400
NY,41300
NY,41300
NY,41300
OH,41300
PA,41300
PA,41300
IL,41200
KS,41200
MA,41200
KS,41200
PA,41100
MO,41000
MO,40900
MA,40900
PA,40900
WA,40900
PA,40900
IL,40800
MI,40800
NY,40800
CO,40700
MA,40700
MN,40700
WA,40700
CO,40600
KS,40600
OH,40600
PA,40600
NY,40500
MA,40500
NY,40400
OH,40400
KS,40300
MN,40300
MO,40300
NY,40300
IL,40300
IN,40200
IA,40200
MN,40200
OH,40200
WA,40200
MN,40100
NY,40100
NY,40100
NY,40100
PA,40100
PA,40100
MA,40000
IL,39900
IA,39900
MA,39900
MN,39900
MI,39800
OH,39800
KS,39800
NJ,39700
NJ,39700
NJ,39600
NY,39600
MA,39600
MA,39500
MN,39500
NY,39500
CO,39400
NY,39400
WA,39400
IL,39300
MN,39300
IL,39200
IN,39200
MA,39200
MA,39200
MN,39200
MO,39200
MO,39200
NY,39200
IA,39100
PA,39100
IN,39000
MI,39000
OH,39000
PA,39000
PA,39000
PA,39000
NJ,38900
IL,38800
MA,38800
NY,38800
NY,38800
PA,38800
WA,38800
IA,38700
MI,38700
NY,38700
MA,38600
WA,38600
IL,38500
NJ,38500
NY,38500
CO,38400
IA,38400
IA,38400
NY,38400
NY,38400
NY,38400
OH,38400
WA,38400
MA,38300
MA,38300
CO,38200
IL,38200
IL,38200
MO,38200
WA,38200
MI,38200
CO,38100
MO,38100
PA,38100
PA,38100
MA,38100
WA,38100
MO,38100
IA,38000
MN,38000
WA,38000
MA,37900
MN,37900
MN,37900
PA,37900
PA,37900
WA,37900
CO,37800
MI,37800
PA,37800
NY,37800
CO,37700
CO,37700
IA,37700
MN,37700
MN,37700
PA,37700
NJ,37700
MN,37600
MN,37600
MA,37600
IN,37500
KS,37500
NJ,37500
OH,37500
PA,37500
MN,37400
MO,37400
KS,37400
MA,37400
CO,37300
KS,37300
MI,37300
IL,37200
IN,37200
MA,37200
MI,37200
NY,37200
WA,37200
CO,37100
IL,37100
MO,37100
NJ,37100
NY,37100
OH,37100
OH,37100
OH,37100
IL,37000
KS,37000
NJ,37000
WA,37000
WA,37000
WA,36900
IA,36800
IA,36800
MN,36800
NY,36800
OH,36800
PA,36800
WA,36800
WA,36800
MN,36800
CO,36700
KS,36700
MN,36700
MO,36700
NY,36700
OH,36700
OH,36700
WA,36700
NY,36700
MO,36700
NY,36600
PA,36600
KS,36600
KS,36600
KS,36600
NY,36600
IL,36500
MA,36500
MA,36500
NJ,36500
CO,36400
IL,36400
KS,36400
NY,36400
MA,36400
PA,36400
PA,36400
PA,36400
OH,36400
IN,36300
KS,36300
NY,36300
MA,36300
MO,36300
IL,36200
IA,36200
MA,36200
MI,36200
MO,36200
PA,36200
MO,36100
KS,36100
KS,36100
MI,36100
WA,36100
OH,36100
IL,36000
IA,36000
MN,36000
NY,36000
KS,36000
KS,36000
CO,35900
MI,35900
MN,35900
NY,35900
MA,35900
PA,35900
MN,35900
IL,35800
MI,35800
MN,35800
PA,35800
PA,35800
IL,35800
CO,35700
MI,35700
NY,35700
IL,35600
MA,35600
NY,35600
NY,35600
IA,35500
IA,35500
KS,35500
MI,35500
NY,35500
NY,35500
OH,35500
MA,35400
MI,35400
NY,35400
OH,35400
OH,35400
WA,35400
IL,35300
IL,35300
MO,35300
OH,35300
OH,35300
MN,35300
OH,35300
NY,35200
PA,35200
PA,35200
PA,35200
PA,35200
OH,35200
MN,35200
MA,35100
NJ,35100
NY,35100
NY,35100
KS,35100
IL,35000
MO,35000
NY,35000
NY,35000
KS,34900
MA,34900
MN,34900
PA,34900
MA,34900
WA,34900
WA,34900
IA,34800
KS,34800
MO,34800
IL,34700
MO,34700
NY,34700
OH,34700
KS,34700
MI,34600
MI,34600
MI,34600
PA,34600
NY,34600
NY,34600
IL,34600
NY,34600
MI,34500
NJ,34500
NJ,34500
NY,34500
NY,34500
OH,34500
CO,34400
IL,34400
IL,34400
KS,34400
MI,34400
OH,34400
WA,34400
NY,34400
MN,34400
MI,34300
MI,34300
NJ,34300
NY,34300
PA,34300
PA,34300
IA,34200
NJ,34200
IN,34100
MI,34100
NJ,34100
CO,34000
IL,34000
PA,34000
MA,34000
MN,34000
MO,33900
NY,33900
NY,33900
NY,33800
OH,33800
OH,33800
OH,33800
IA,33600
KS,33600
WA,33600
MN,33500
MO,33500
NY,33500
MI,33400
OH,33400
IL,33300
MO,33300
CO,33200
IL,33200
MO,33200
OH,33200
IL,33100
WA,33100
NY,33100
OH,33100
IL,33100
IN,33000
OH,33000
OH,32900
PA,32900
IL,32800
IA,32800
MI,32800
OH,32800
IL,32700
IL,32700
MO,32700
NY,32700
IN,32700
NJ,32700
IL,32600
MO,32600
OH,32600
CO,32600
NY,32600
OH,32500
PA,32500
PA,32500
IL,32400
MI,32400
MI,32400
NY,32400
WA,32400
IL,32300
PA,32300
MI,32200
MO,32200
NJ,32200
CO,32100
MI,32100
MI,32100
MI,32100
MO,32100
MO,32100
NJ,32100
OH,32100
OH,32100
CO,31900
OH,31900
NY,31900
IL,31800
MI,31800
MO,31800
IL,31700
MI,31600
OH,31600
PA,31600
PA,31600
OH,31500
IL,31400
NY,31400
OH,31400
PA,31400
PA,31400
PA,31400
IN,31400
MO,31400
MI,31300
OH,31300
KS,31300
IL,31200
IL,31200
OH,31200
CO,31100
IL,31100
MI,31100
OH,31100
MO,31000
IL,31000
IL,30900
MI,30900
OH,30900
IL,30700
IL,30600
IL,30600
MO,30600
NY,30500
NY,30500
IL,30400
IA,30400
OH,30400
KS,30400
NY,30300
NY,30300
OH,30300
WA,30300
KS,30100
PA,30100
MO,30100
NY,30000
MO,29900
IN,29900
MI,29800
OH,29800
OH,29800
MO,29700
PA,29700
IL,29700
PA,29600
IL,29600
OH,29600
IL,29500
IL,29500
NY,29300
MO,29300
NJ,29300
IL,29200
WA,29100
MI,29100
PA,29000
MI,28900
NY,28900
IL,28900
CO,28800
NY,28800
NY,28800
IL,28700
IN,28600
OH,28600
KS,28500
MO,28400
MO,28400
MO,28400
NY,28100
OH,28100
CO,27900
CO,27900
PA,27800
MI,27800
CO,27800
NJ,27800
NJ,27600
CO,27500
KS,27500
WA,27400
MI,27200
MA,27200
IL,27100
IL,27100
PA,27100
CO,26900
IL,26900
IL,26700
PA,26700
MN,26600
PA,26500
OH,26500
NY,26500
NY,26300
PA,26300
NY,26300
PA,26200
IL,26200
NY,26100
OH,25900
MO,25800
MN,25800
NJ,25700
OH,25700
OH,25600
NY,25500
NY,25500
MO,25400
PA,25300
PA,25300
IL,25200
PA,25200
OH,25100
WA,25100
NY,24900
PA,24900
MA,24900
NY,24900
MI,24600
MI,24600
NY,24300
NJ,24200
CO,24000
PA,24000
NY,23800
WA,23700
OH,23600
PA,23600
MO,23400
PA,23400
OH,23200
PA,23100
MN,22900
IL,22800
IL,22800
NY,22700
NY,22700
NY,22700
MI,22600
PA,22600
NY,22600
OH,22500
OH,22300
MI,22200
CO,22000
KS,22000
NY,21900
IN,21800
MO,21800
PA,21700
IL,21500
MI,21400
MO,21400
CO,21300
IL,21200
IN,21200
IA,21200
PA,21100
OH,20700
MO,20600
PA,20600
MO,20600
IA,20100
PA,19800
OH,19600
PA,19200
PA,19200
IN,19100
MI,19100
OH,18700
IA,18700
IL,18700
MI,18200
PA,18100
PA,17700
OH,17500
MI,17300
OH,16800
WA,16100
MN,14700
PA,14600
